news,news_category,views,poster,time,month,year,news_link
Northern Leaders Reject Jonathan’s Confab Report,Politics," / , / ,  / , (19816 Views) ",murphyibiam15,6:48pm,Sep 15,2015,https://www.nairaland.com/2601828/northern-leaders-reject-jonathans-confab
"TSA Freezes Interbank Market, Bank Transactions FROZEN!!",Business," / , / ,  / , (25960 Views) ",citizenisb,3:49pm,Sep 15,2015,https://www.nairaland.com/2601457/tsa-freezes-interbank-market-bank
What Is This Life Turning Into!!!(photo),Pets," / , / ,  / , (67741 Views) ",Femiblacky,12:02pm,Sep 14,2015,https://www.nairaland.com/2598537/what-life-turning-into-photo
List Of Buhari's Ministerial Nominees Screened By DSS - Naij.com,Politics," / , / ,  / , (109043 Views) ",kestolove95,12:29pm,Sep 14,2015,https://www.nairaland.com/2598605/list-buharis-ministerial-nominees-screened
Fans Mock Kcee On Instagram,Celebrities," / , / ,  / , (47109 Views) ",metronaija,6:55pm,Sep 15,2015,https://www.nairaland.com/2601841/fans-mock-kcee-instagram
"Davido’s Girlfriend, Sira Kante, Flaunts Her Boobs In Sexy Photos",Celebrities," / , / ,  / , (74828 Views) ",metronaija,7:05pm,Sep 15,2015,https://www.nairaland.com/2601856/davidos-girlfriend-sira-kante-flaunts
2shotz Meets His Daughter 6 Months After She Was Born (photo),Celebrities," / , / ,  / , (34486 Views) ",ogochukwu247,1:44pm,Sep 14,2015,https://www.nairaland.com/2598780/2shotz-meets-daughter-6-months
Today I Took Selfie  With Leonel Messi,Sports," / , / ,  / , (59070 Views) ",gly2ken,9:27pm,Sep 12,2015,https://www.nairaland.com/2595073/today-took-selfie-leonel-messi
Two Nairalanders Sign & Log Out As Health Educators; Bsc (ed).,Education," / , / ,  / , (14710 Views) ",amodu,11:18pm,Aug 18,2015,https://www.nairaland.com/2535979/two-nairalanders-sign-log-out
"EFCC Quizzes Ex-Immigration Boss, Parradang - The Cable",Politics," / , / ,  / , (16299 Views) ",Imortal001,2:20pm,Sep 14,2015,https://www.nairaland.com/2598868/efcc-quizzes-ex-immigration-boss-parradang
Osun Lecturers Protest Unpaid Salaries (Photo),Politics," / , / ,  / , (40901 Views) ",ijustdey,2:43pm,Sep 14,2015,https://www.nairaland.com/2598927/osun-lecturers-protest-unpaid-salaries
Evil People And Ghosts Polluted My Office – Lagos PDP Chairman,Politics," / , / ,  / , (14387 Views) ",lalasticlala,2:16pm,Sep 14,2015,https://www.nairaland.com/2598859/evil-people-ghosts-polluted-office
Understanding The Treasury Single Account (TSA) System – Things You Should Know,Politics," / , / ,  / , (94233 Views) ",Rockstar07,1:35pm,Sep 14,2015,https://www.nairaland.com/2598762/understanding-treasury-single-account-tsa
Buhari Departs For France On A 3 Day Official Visit (Photos),Politics," / , / ,  / , (20903 Views) ",makzeze,3:06pm,Sep 14,2015,https://www.nairaland.com/2598972/buhari-departs-france-3-day
Islam for Muslims,Religion," / , / , / ,  / , (33544 Views) ",2dillu2,2:47pm,Sep 14,2015,https://www.nairaland.com/islam
How A Service Chief Greeted Osinbajo Today At African Union Peace Event (Pics),Politics," / , / ,  / , (78061 Views) ",chimere66,2:12pm,Sep 14,2015,https://www.nairaland.com/2598849/how-service-chief-greeted-osinbajo
Photos Of 2 Pupils Who Got Injured In The Jos School Building Collapse,Education," / , / ,  / , (17753 Views) ",iamVirus,4:39pm,Sep 14,2015,https://www.nairaland.com/2599145/photos-2-pupils-got-injured
Touching Moment A Cat Drags An Injured Cat Off The Road (PHOTOS),Pets," / , / ,  / , (72633 Views) ",Lautechgossip,7:46am,Sep 14,2015,https://www.nairaland.com/2597948/touching-moment-cat-drags-injured
"Man, 27, Remanded For Biting Off Police Officer’s Ear",Crime," / , / ,  / , (25093 Views) ",Aminat508,3:50pm,Sep 14,2015,https://www.nairaland.com/2599053/man-27-remanded-biting-off
"Amaechi Is ‘clean And Spotless’, APC Tells Buhari",Politics," / , / ,  / , (31824 Views) ",Ezenwammadu,4:19pm,Sep 14,2015,https://www.nairaland.com/2599105/amaechi-clean-spotless-apc-tells
Meet The Unique Identical Twins Who Both Graduated With First Class.. Photos,Education," / , / ,  / , (80027 Views) ",dainformant,2:33pm,Sep 14,2015,https://www.nairaland.com/2598905/meet-unique-identical-twins-both
Tambuwal's Convoy Passes Through Floods As He Visits Sokoto Communities. Photos,Politics," / , / ,  / , (38939 Views) ",dainformant,2:15pm,Sep 14,2015,https://www.nairaland.com/2598857/tambuwals-convoy-passes-through-floods
Buhari Inspecting Guard Of Honour In France,Politics," / , / ,  / , (44749 Views) ",olokfor,6:01pm,Sep 14,2015,https://www.nairaland.com/2599296/buhari-inspecting-guard-honour-france
The Hilux Vans Donated By Toyota Company To MNJTF Against Insurgency. Photos,Politics," / , / ,  / , (52084 Views) ",dainformant,6:04pm,Sep 11,2015,https://www.nairaland.com/2592769/hilux-vans-donated-toyota-company
"Ibrahim Coomasie, Son Of Abacha’s Police IG Shows Off Wealth (PHOTOS)",Politics," / , / ,  / , (64514 Views) ",midolian,4:41pm,Sep 14,2015,https://www.nairaland.com/2599149/ibrahim-coomasie-son-abachas-police
"Josephine, Airport woman who returned money gets her first salary (Photo)",Career," / , / ,  / , (50693 Views) ",olokfor,5:30pm,Sep 14,2015,https://www.nairaland.com/2599239/josephine-airport-woman-returned-money
Buhari's Ministerial Screening: See This Hilarious Cartoon,Jokes Etc," / , / ,  / , (68586 Views) ",fretnot,4:07pm,Sep 14,2015,https://www.nairaland.com/2599085/buharis-ministerial-screening-see-hilarious
"President Buhari Arrives Paris, France (Photos)",Politics," / , / ,  / , (25404 Views) ",makzeze,4:38pm,Sep 14,2015,https://www.nairaland.com/2599144/president-buhari-arrives-paris-france
Osinbajo Visits Rivers State Today (Photos),Politics," / , / ,  / , (41231 Views) ",metronaija,12:28pm,Sep 13,2015,https://www.nairaland.com/2596382/osinbajo-visits-rivers-state-today
Precious  Eke: I Cant Go With Pant And Bra On Set,Celebrities," / , / ,  / , (47298 Views) ",XavierBlue,5:11pm,Sep 14,2015,https://www.nairaland.com/2599208/precious-eke-cant-go-pant
Photos From An Unclad Annual Virgin Dance That Holds In Abiriba Kingdom,Culture," / , / ,  / , (94033 Views) ",Paschal001,1:22pm,Sep 13,2015,https://www.nairaland.com/2596463/photos-unclad-annual-virgin-dance
Monalisa Chinda Celebrates Her 41st Birthday Today,Celebrities," / , / ,  / , (40448 Views) ",lalasticlala,2:38pm,Sep 13,2015,https://www.nairaland.com/2596542/monalisa-chinda-celebrates-41st-birthday
Gov Primary: APC Factions In War Of Words,Politics," / , / ,  / , (19718 Views) ",DickDastardly,2:41pm,Sep 13,2015,https://www.nairaland.com/2596546/gov-primary-apc-factions-war
Cossy Ojiakor's Boob Baring Outfit At An Award Ceremony,Celebrities," / , / ,  / , (74253 Views) ",metronaija,2:10pm,Sep 13,2015,https://www.nairaland.com/2596515/cossy-ojiakors-boob-baring-outfit
APC Leaders And Blocs In Fierce Battle Over Buhari's Ministerial List,Politics," / , / ,  / , (45588 Views) ",Demmocrats,8:17am,Sep 13,2015,https://www.nairaland.com/2595757/apc-leaders-blocs-fierce-battle
6 Signs That Show A Church Is Becoming Secular.  Part 1,Religion," / , / ,  / , (36788 Views) ",iliyande,11:06am,Sep 13,2015,https://www.nairaland.com/2596221/6-signs-show-church-becoming
Kcee Releases New Pics To Correct Those That Said He Dresses Like Traffic Worker,Celebrities," / , / ,  / , (63386 Views) ",preach93,11:48am,Sep 13,2015,https://www.nairaland.com/2596308/kcee-releases-new-pics-correct
Cherubim & Seraphim Church Honors DonJazzy (Photos),Celebrities," / , / ,  / , (68742 Views) ",metronaija,1:06pm,Sep 13,2015,https://www.nairaland.com/2596437/cherubim-seraphim-church-honors-donjazzy
Data Validity Period Should Be  Abolished By NCC,Phones," / , / ,  / , (24783 Views) ",HighIQ,8:51pm,Sep 12,2015,https://www.nairaland.com/2595020/data-validity-period-should-abolished
Traffic Law: Lagos Lists Vehicles That Can Operate From 6am-9pm,Politics," / , / ,  / , (36536 Views) ",chimoskyg,6:33pm,Sep 13,2015,https://www.nairaland.com/2596970/traffic-law-lagos-lists-vehicles
Father Of 5 Beaten To Death In Ibadan By Landlord Sons,Crime," / , / ,  / , (27691 Views) ",ijustdey,5:57pm,Sep 13,2015,https://www.nairaland.com/2596885/father-5-beaten-death-ibadan
Nigerian Troops Claim Boko Haram Terrorists Are Surrendering In Droves,Politics," / , / ,  / , (35579 Views) ",GOATandYAMtheory,3:03pm,Sep 13,2015,https://www.nairaland.com/2596586/nigerian-troops-claim-boko-haram
"Anambra Couple With Triplet Cry For Help, Govt Offers N2k, Bag Of Rice, Dettol",Politics," / , / ,  / , (54162 Views) ",afroniger,3:30pm,Sep 13,2015,https://www.nairaland.com/2596632/anambra-couple-triplet-cry-govt
He Got Me Pregnant And Left Me To Suffer,Family," / , / ,  / , (57652 Views) ",anitafancis,10:49am,Sep 13,2015,https://www.nairaland.com/2596199/he-got-me-pregnant-left
"You Didn’t Truly Campaign For Buhari, APC Tells Okorocha",Politics," / , / ,  / , (54894 Views) ",emamos,7:51pm,Sep 13,2015,https://www.nairaland.com/2597096/didnt-truly-campaign-buhari-apc
Adaeze Yobo & Her Sons Show Off Their Sunday Look,Celebrities," / , / ,  / , (35437 Views) ",morereb10,6:34pm,Sep 13,2015,https://www.nairaland.com/2596972/adaeze-yobo-sons-show-off
PDP Accuses Aregbesola Of Diverting N20bn Bailout Fund.,Politics," / , / ,  / , (12910 Views) ",DickDastardly,3:41pm,Sep 13,2015,https://www.nairaland.com/2596643/pdp-accuses-aregbesola-diverting-n20bn
"Ministerial List: Amaechi, Fayemi, Fashola Fail Security Screening-NigerianPilot",Politics," / , / ,  / , (77602 Views) ",ThisisBuhari,8:27pm,Sep 13,2015,https://www.nairaland.com/2597169/ministerial-list-amaechi-fayemi-fashola
Toke Makinwa Flaunts Her New Acquired Butterfly Shoes As She Goes Shopping In NY,Celebrities," / , / ,  / , (34289 Views) ",Ebal,8:44pm,Sep 13,2015,https://www.nairaland.com/2597197/toke-makinwa-flaunts-new-acquired
Read A Church's Regulation On What A Bride & Groom Should Wear For Their Wedding,Religion," / , / ,  / , (43762 Views) ",adesegun121,9:50pm,Sep 13,2015,https://www.nairaland.com/2597320/read-churchs-regulation-what-bride
"Official Car For Assistant Manager, Nothing For The Manager",Career," / , / ,  / , (33430 Views) ",vivypretty,11:02am,Sep 12,2015,https://www.nairaland.com/2594063/official-car-assistant-manager-nothing
Jide Kosoko And Daughter As Husband And Wife (Photo),Celebrities," / , / ,  / , (77916 Views) ",realDONmikel,8:54pm,Sep 12,2015,https://www.nairaland.com/2595027/jide-kosoko-daughter-husband-wife
"Like PDP, We Won’t Hang Buhari’s Portrait – LP, PPA",Politics," / , / ,  / , (20548 Views) ",DickDastardly,9:40am,Sep 13,2015,https://www.nairaland.com/2596041/like-pdp-wont-hang-buharis
Mercy Aigbe’s Outfit To Her Father-in-Law’s Burial,Celebrities," / , / ,  / , (52507 Views) ",Kakakino,9:51am,Sep 13,2015,https://www.nairaland.com/2596072/mercy-aigbes-outfit-father-in-laws-burial
"Buhari Bows To Pressure, Reverses Ban On 113 Oil Vessels",Politics," / , / ,  / , (30536 Views) ",5starmilitant,9:39pm,Sep 11,2015,https://www.nairaland.com/2593127/buhari-bows-pressure-reverses-ban
"Facebook Ranks Nigeria, Kenya Top In Africa As Mobile Active Users",Webmasters," / , / ,  / , (18385 Views) ",baloney,3:34pm,Sep 10,2015,https://www.nairaland.com/2589952/facebook-ranks-nigeria-kenya-top
Labour Rejects Aregbsola’s Half Salaries - PUNCH,Politics," / , / ,  / , (21715 Views) ",rozayx5,8:11am,Sep 12,2015,https://www.nairaland.com/2593712/labour-rejects-aregbsolas-half-salaries
Rare Pic Of A Nigerian Soldier Climbing A Building To Take Down Boko Haram Flag,Politics," / , / ,  / , (73186 Views) ",sixtuschimere,5:29pm,Sep 13,2015,https://www.nairaland.com/2596826/rare-pic-nigerian-soldier-climbing
"Army Invades Delta Community, Seizes Pregnant Woman, Cripple",Politics," / , / ,  / , (20606 Views) ",Imortal001,10:22am,Sep 12,2015,https://www.nairaland.com/2593960/army-invades-delta-community-seizes
To The Ladies... Why Do You Have Boyfriends???,Romance," / , / ,  / , (49788 Views) ",Omotayor123,10:35am,Sep 12,2015,https://www.nairaland.com/2593990/ladies-why-boyfriends
Oluchi Saw Her Death Coming –family Of Electrocuted UNILAG Student,Education," / , / ,  / , (69164 Views) ",Fairgodwin,10:43am,Sep 12,2015,https://www.nairaland.com/2594008/oluchi-saw-death-coming-family
Nigerian Arrested At KIA For Swallowing Cocaine (photo),Crime," / , / ,  / , (43521 Views) ",dridowu,11:31am,Sep 12,2015,https://www.nairaland.com/2594115/nigerian-arrested-kia-swallowing-cocaine
Buhari To Kickstart Punishment Of The Armed Forces For Violating Human Rights,Politics," / , / ,  / , (19192 Views) ",nobilie,12:43pm,Sep 12,2015,https://www.nairaland.com/2594234/buhari-kickstart-punishment-armed-forces
2016/2017 UTME And Admission Process Thread,Education," / , / ,  / , (337470 Views) ",HomoSapiien,9:26am,Aug 25,2015,https://www.nairaland.com/2551025/2016-2017-utme-admission-process
"‘boko Haram Desperate, Recruiting Randomly’ -daily Trust",Politics," / , / ,  / , (26478 Views) ",HungerBAD,6:17am,Sep 12,2015,https://www.nairaland.com/2593528/boko-haram-desperate-recruiting-randomly
Tension As Governors Sit On Bailout Fund,Politics," / , / ,  / , (28402 Views) ",Adesiji77,12:31pm,Sep 12,2015,https://www.nairaland.com/2594220/tension-governors-sit-bailout-fund
The Fight Towards Corruption Is Real!(photo Of The Day),Politics," / , / ,  / , (43832 Views) ",Niwdog,2:10pm,Sep 12,2015,https://www.nairaland.com/2594395/fight-towards-corruption-real-photo
Fayose's Son Tomiwa Purchases A Porsche (photo),Politics," / , / ,  / , (79028 Views) ",INTROVERT,12:14pm,Sep 12,2015,https://www.nairaland.com/2594189/fayoses-son-tomiwa-purchases-porsche
"European Football (EPL, UEFA, La Liga)",Sports," / , / , / ,  / , (13742 Views) ",keandre,9:39pm,Sep 07,2015,https://www.nairaland.com/eurosoccer
 El-Rufai Welcomes Buhari As He Arrives For 62RC POP Of NDA,Politics," / , / ,  / , (34849 Views) ",klem93,12:17pm,Sep 12,2015,https://www.nairaland.com/2594193/el-rufai-welcomes-buhari-he-arrives
"European Football (EPL, UEFA, La Liga)",Sports," / , / , / ,  / , (37194 Views) ",Macelliot,3:55pm,Sep 12,2015,https://www.nairaland.com/eurosoccer
"Mercy Aigbe Blasted Over Daughter's ""Breast Exposure""",Celebrities," / , / ,  / , (97302 Views) ",dayosweetness,5:12pm,Sep 12,2015,https://www.nairaland.com/2594712/mercy-aigbe-blasted-over-daughters
Motivating Story Of Odion Ighalo Who Dodged Bullets On His Way Up,Sports," / , / ,  / , (39507 Views) ",breakingbad,5:09pm,Sep 12,2015,https://www.nairaland.com/2594694/motivating-story-odion-ighalo-dodged
"Al Makura's Aides Manhandle Lady, Governor Calls Her Prostitute",Politics," / , / ,  / , (61863 Views) ",omophunky,9:11am,Sep 12,2015,https://www.nairaland.com/2593840/al-makuras-aides-manhandle-lady
Photo: This Is The Bitter Truth About Work Place,Career," / , / ,  / , (41216 Views) ",lonelydora,9:17pm,Sep 11,2015,https://www.nairaland.com/2593092/photo-bitter-truth-work-place
Couple Fight & End Engagement Because Fiance Gave Fiancee A Full Stop Ring,Romance," / , / ,  / , (52460 Views) ",Spikkylee,1:35pm,Sep 02,2015,https://www.nairaland.com/2570906/couple-fight-end-engagement-because
"European Football (EPL, UEFA, La Liga)",Sports," / , / , / ,  / , (55641 Views) ",promzyugo,2:21pm,Sep 12,2015,https://www.nairaland.com/eurosoccer
"European Football (EPL, UEFA, La Liga)",Sports," / , / , / ,  / , (14516 Views) ",banme,4:30pm,Sep 12,2015,https://www.nairaland.com/eurosoccer
Don Jazzy At Cherubim & Seraphim: Rare Baby Photos Of Mavin Boss Growing Up ,Celebrities," / , / ,  / , (47885 Views) ",famobaba,4:39pm,Sep 12,2015,https://www.nairaland.com/2594641/don-jazzy-cherubim-seraphim-rare
Premiere Of Shuga Season 4: Nigerian Celebrities Stun On Red Carpet,Celebrities," / , / ,  / , (29543 Views) ",JAYTUNEZ,12:01pm,Sep 12,2015,https://www.nairaland.com/2594170/premiere-shuga-season-4-nigerian
Islam for Muslims,Religion," / , / , / ,  / , (5580 Views) ",makzeze,5:20am,Sep 11,2015,https://www.nairaland.com/islam
Islam for Muslims,Religion," / , / , / ,  / , (4291 Views) ",eluquenson,8:26am,Sep 11,2015,https://www.nairaland.com/islam
250 Million Fake Phones Sold In Nigeria Yearly - NCC,Phones," / , / ,  / , (14213 Views) ",metronaija,10:11am,Sep 11,2015,https://www.nairaland.com/2591713/250-million-fake-phones-sold
Carl Ikeme With His Wife & Two Children (Photo),Sports," / , / ,  / , (46928 Views) ",collinsy2,3:55pm,Sep 12,2015,https://www.nairaland.com/2594577/carl-ikeme-wife-two-children
APC Will Be Non-existent Without Tinubu – Femi Gbajabiamila,Politics," / , / ,  / , (20004 Views) ",oluvick,6:09am,Sep 11,2015,https://www.nairaland.com/2591221/apc-non-existent-without-tinubu-femi
Islam for Muslims,Religion," / , / , / ,  / , (10547 Views) ",Aminat508,7:28am,Sep 11,2015,https://www.nairaland.com/islam
Sex And Masturbation May Hamper Ebola Eradication Efforts,Health," / , / ,  / , (37145 Views) ",Onyi42,8:17pm,Sep 10,2015,https://www.nairaland.com/2590516/sex-masturbation-may-hamper-ebola
Excessive Dependence On Makeup,Fashion," / , / ,  / , (20967 Views) ",nex,12:29pm,Sep 09,2015,https://www.nairaland.com/2587168/excessive-dependence-makeup
Tribunals: Rivers APC Allege Wike Is Set To Bribe Judges With N10bn,Politics," / , / ,  / , (24523 Views) ",DONSMITH123,10:35am,Sep 11,2015,https://www.nairaland.com/2591783/tribunals-rivers-apc-allege-wike
Why Are More Married Women In Nigeria Becoming Addicted To The Drug Codeine,Health," / , / ,  / , (47563 Views) ",nex,12:23pm,Sep 09,2015,https://www.nairaland.com/2587154/why-more-married-women-nigeria
Picture Of Professor Cyril Ndifon (UNICAL) By Stella Dimokokorkus,Education," / , / ,  / , (50954 Views) ",lalasticlala,11:30am,Sep 11,2015,https://www.nairaland.com/2591928/picture-professor-cyril-ndifon-unical
"NAFDAC Confiscates Fake Drugs Worth N25million In Warri, Seal Shops",Health," / , / ,  / , (10043 Views) ",kachysblog,6:53am,Sep 11,2015,https://www.nairaland.com/2591281/nafdac-confiscates-fake-drugs-worth
Islam for Muslims,Religion," / , / , / ,  / , (17832 Views) ",Wizeboy,7:43pm,Sep 10,2015,https://www.nairaland.com/islam
"School, Job And Career: Before You Get Wrongly Inspired",Career," / , / ,  / , (17239 Views) ",Olsoo,7:43am,Sep 11,2015,https://www.nairaland.com/2591373/school-job-career-before-get
Quest For Movie Stardom: Woman Loses N2.1m To Fake Spiritualist,Crime," / , / ,  / , (35715 Views) ",Islie,11:39am,Sep 11,2015,https://www.nairaland.com/2591952/quest-movie-stardom-woman-loses
Bomb Explosion Rocks Yola IDP Camp,Politics," / , / ,  / , (29994 Views) ",ijustdey,12:52pm,Sep 11,2015,https://www.nairaland.com/2592128/bomb-explosion-rocks-yola-idp
Abubakar Bello Uncovers N70b Cash Withdrawals By Govt Officials,Politics," / , / ,  / , (38421 Views) ",jumper524,1:03pm,Sep 11,2015,https://www.nairaland.com/2592148/abubakar-bello-uncovers-n70b-cash
"Soldiers, Militants Clash Claims Three In Delta - PUNCH",Politics," / , / ,  / , (32814 Views) ",rozayx5,9:47am,Sep 11,2015,https://www.nairaland.com/2591635/soldiers-militants-clash-claims-three
Charles Oben: GSK Drug Turned A Healthy Banker Into A Monster,Health," / , / ,  / , (80723 Views) ",metronaija,10:42am,Sep 11,2015,https://www.nairaland.com/2591797/charles-oben-gsk-drug-turned
"Federal Government Releases Funds For EFCC, ICPC To Try Ex-Governors",Politics," / , / ,  / , (27583 Views) ",byteHead,1:24pm,Sep 11,2015,https://www.nairaland.com/2592208/federal-government-releases-funds-efcc
Buhari’s First 100 Days - Opeyemi Agbaje,Politics," / , / ,  / , (18034 Views) ",kaboninc,11:14am,Sep 11,2015,https://www.nairaland.com/2591885/buharis-first-100-days-opeyemi
Tiwa Savage shares photo of her new shape 2 months after giving birth,Celebrities," / , / ,  / , (63345 Views) ",contactmorak,1:15pm,Sep 11,2015,https://www.nairaland.com/2592182/tiwa-savage-shares-photo-new
60yr old Retired Police Officer In Court For Raping 2 Girls Aged 5 & 6 In Bauchi,Crime," / , / ,  / , (14385 Views) ",midolian,4:38pm,Sep 11,2015,https://www.nairaland.com/2592607/60yr-old-retired-police-officer
Breaking: APC Vice Chairman Resigns,Politics," / , / ,  / , (13789 Views) ",lokobyforch,3:12pm,Sep 11,2015,https://www.nairaland.com/2592433/breaking-apc-vice-chairman-resigns
Married Woman Cuts Off Husband's Friend's joystick,Crime," / , / ,  / , (60313 Views) ",dre11,3:24pm,Sep 11,2015,https://www.nairaland.com/2592454/married-woman-cuts-off-husbands
"Custom Boss, Hamid Ali Inspects Quarter Gaurds (Pictures)",Politics," / , / ,  / , (29339 Views) ",MrZachs,6:49am,Sep 11,2015,https://www.nairaland.com/2591271/custom-boss-hamid-ali-inspects
Buhari's Cabinet: Shocker Awaits APC Godfathers - Tribuneonline,Politics," / , / ,  / , (35121 Views) ",jatthobber,7:17am,Sep 11,2015,https://www.nairaland.com/2591321/buharis-cabinet-shocker-awaits-apc
This Is The Best Way To Answer When An Interviewer Says ‘tell Me About Yourself’,Jobs/Vacancies," / , / ,  / , (52332 Views) ",STUDENTSFORUM,6:50am,Sep 11,2015,https://www.nairaland.com/2591274/best-way-answer-when-interviewer
Cossy Shows Off Her Visa To Germany,Celebrities," / , / ,  / , (34739 Views) ",Airforce1,6:40am,Sep 11,2015,https://www.nairaland.com/2591259/cossy-shows-off-visa-germany
Re: See What Is Happening To Nigeria’s Economy Under Buhari,Politics," / , / ,  / , (32930 Views) ",PassingShot,2:27pm,Sep 11,2015,https://www.nairaland.com/2592360/re-see-what-happening-nigerias
"Casual Workers Responsible For Fraud In Banks – NDIC, CIBN",Career," / , / ,  / , (12247 Views) ",Adesiji77,10:54pm,Sep 10,2015,https://www.nairaland.com/2590846/casual-workers-responsible-fraud-banks
Village In America Where The Yoruba Culture Is Being Practiced (Photos),Culture," / , / ,  / , (111148 Views) ",vicadex07,2:10pm,Sep 11,2015,https://www.nairaland.com/2592320/village-america-where-yoruba-culture
"They Both Work In Different Banks, Can Their Marriage Work?",Family," / , / ,  / , (20644 Views) ",MosakuAW,7:29pm,Sep 10,2015,https://www.nairaland.com/2590424/both-work-different-banks-marriage
"Military Kills 11 Cattle Rustlers In Katsina, Arrest 39",Politics," / , / ,  / , (15799 Views) ",UrennaNkoli,6:24pm,Sep 10,2015,https://www.nairaland.com/2590313/military-kills-11-cattle-rustlers
Ratings: Top 20 Nigerian Players On FIFA 16,Sports," / , / ,  / , (33414 Views) ",daveP,8:59pm,Sep 10,2015,https://www.nairaland.com/2590622/ratings-top-20-nigerian-players
Man Who Was Druged And Raped By A Girl (photos) - Vascable,Crime," / , / ,  / , (68628 Views) ",wapmingle,4:09pm,Sep 10,2015,https://www.nairaland.com/2590024/man-druged-raped-girl-photos
"Togo President, Gnassingbe Visits Buhari In Abuja (Photos)",Politics," / , / ,  / , (19911 Views) ",Sveen,3:09pm,Sep 10,2015,https://www.nairaland.com/2589901/togo-president-gnassingbe-visits-buhari
Very Thick And Massive Traffic Jam From Jebba To Ilorin (pictures),Travel," / , / ,  / , (34967 Views) ",osaslord500,3:09pm,Sep 10,2015,https://www.nairaland.com/2589900/very-thick-massive-traffic-jam
Kogi: PDP Delegates Attacked By Thieves,Politics," / , / ,  / , (10246 Views) ",DONSMITH123,2:10pm,Sep 10,2015,https://www.nairaland.com/2589797/kogi-pdp-delegates-attacked-thieves
Girl Who Survived Fire Incident That Killed 7 Family Members In Lagos Dies,Family," / , / ,  / , (41793 Views) ",olokfor,3:21pm,Sep 10,2015,https://www.nairaland.com/2589924/girl-survived-fire-incident-killed
Soundcity TV Replies Peter Okoye,Celebrities," / , / ,  / , (51451 Views) ",olokfor,2:40pm,Sep 10,2015,https://www.nairaland.com/2589843/soundcity-tv-replies-peter-okoye
Obiano Awards Scholarship To Children Of Boko Haram Victims,Politics," / , / ,  / , (16101 Views) ",INTROVERT,4:03pm,Sep 10,2015,https://www.nairaland.com/2590011/obiano-awards-scholarship-children-boko
"Chief-Of-Army-Staff, Buratai, Visits Troops In Gamboru-Ngala (Photos)",Politics," / , / ,  / , (26743 Views) ",olokfor,2:49pm,Sep 10,2015,https://www.nairaland.com/2589862/chief-of-army-staff-buratai-visits-troops-gamboru-ngala
The Resemblance Between Toyin Adegbola And Her Daughter,Celebrities," / , / ,  / , (42978 Views) ",contactmorak,8:42am,Sep 10,2015,https://www.nairaland.com/2588982/resemblance-toyin-adegbola-daughter
Fashola Funsho Ogunremi Is Dead (Actor),Celebrities," / , / ,  / , (66777 Views) ",olillywales,4:18pm,Sep 10,2015,https://www.nairaland.com/2590040/fashola-funsho-ogunremi-dead-actor
Beautiful Sights Of Lagos Island,Travel," / , / ,  / , (42316 Views) ",cnwokike,3:38pm,Sep 10,2015,https://www.nairaland.com/2589966/beautiful-sights-lagos-island
,Human-like Species Discovered In South Africa (Photos)," / ,  / , (85072 Views) ",UrennaNkoli,7:46pm,Sep 10,2015,https://www.nairaland.com/2590451/human-like-species-discovered-south-africa
Tonto Dikeh-churchill Shows Of Her Portrait Presented To Her By A Male Fan,Celebrities," / , / ,  / , (30573 Views) ",ChuzzyBlog,4:35pm,Sep 10,2015,https://www.nairaland.com/2590079/tonto-dikeh-churchill-shows-portrait-presented
"Woman Bites Off , Swallows Neighbour’s Tip (Pictured)",Crime," / , / ,  / , (54337 Views) ",dre11,4:55pm,Sep 10,2015,https://www.nairaland.com/2590124/woman-bites-off-swallows-neighbours
5 Nigerian Pilgrims Die In Saudi Arabia,Travel," / , / ,  / , (15544 Views) ",Sveen,4:56pm,Sep 10,2015,https://www.nairaland.com/2590128/5-nigerian-pilgrims-die-saudi
Fake Prophet Cons Lagos Nurse For Sex,Crime," / , / ,  / , (38364 Views) ",Islie,5:04pm,Sep 10,2015,https://www.nairaland.com/2590153/fake-prophet-cons-lagos-nurse
Mohammud Modibbo Dies (Nigeria's Oldest School Pupil),Education," / , / ,  / , (37202 Views) ",catchfun,5:42pm,Sep 10,2015,https://www.nairaland.com/2590231/mohammud-modibbo-dies-nigerias-oldest
Buhari Sacks Chairmen Of 3 FCTA Boards,Politics," / , / ,  / , (25183 Views) ",makzeze,5:55pm,Sep 10,2015,https://www.nairaland.com/2590261/buhari-sacks-chairmen-3-fcta
"100 Days: Buhari On The Right Track, Says Tukur",Politics," / , / ,  / , (14668 Views) ",emamos,5:18pm,Sep 10,2015,https://www.nairaland.com/2590188/100-days-buhari-right-track
,Nigeria To Experience Lunar Eclipse On September 28," / ,  / , (35261 Views) ",INTROVERT,5:30pm,Sep 10,2015,https://www.nairaland.com/2590213/nigeria-experience-lunar-eclipse-september
Lagosians Beat Kai Officials After They Nabbed & Beat Up A Recharge Card Seller,Politics," / , / ,  / , (33412 Views) ",Rekadobello,5:48pm,Sep 10,2015,https://www.nairaland.com/2590245/lagosians-beat-kai-officials-after
2015 June-July NECO Result Is OUT,Education," / , / ,  / , (28801 Views) ",Sbrainy,7:16am,Sep 10,2015,https://www.nairaland.com/2588821/2015-june-july-neco-result-out
PHOTOS: Man Arrested For Pouring Hot Oil On Wife In Abia,Crime," / , / ,  / , (24263 Views) ",olillywales,5:44pm,Sep 10,2015,https://www.nairaland.com/2590236/photos-man-arrested-pouring-hot
